sample-id	day	parity	trt	sow	pclass	DNAid
#q2:types	categorical	numeric	categorical 	numeric	categorical	numeric
CONS37P4B14	-14	4	CON	37	2	1
AGOS38P1B14	-14	1	AGO	38	1	2
CONS39P1B14	-14	1	CON	39	1	3
CONS41P1B14	-14	1	CON	41	1	4
AGOS42P6B14	-14	6	AGO	42	2	5
CONS43P5B14	-14	5	CON	43	2	6
AGOS44P4B14	-14	4	AGO	44	2	7
CONS45P2B14	-14	2	CON	45	2	8
AGOS46P1B14	-14	1	AGO	46	1	9
CONS47P6B14	-14	6	CON	47	2	10
AGOS48P4B14	-14	4	AGO	48	2	11
CONS49P6B14	-14	6	CON	49	2	12
AGOS50P1B14	-14	1	AGO	50	1	13
CONS51P3B14	-14	3	CON	51	2	14
CONS52P4B14	-14	4	CON	52	2	15
AGOS53P1B14	-14	1	AGO	53	1	16
AGOS54P5B14	-14	5	AGO	54	2	17
CONS55P5B14	-14	5	CON	55	2	18
AGOS56P1B14	-14	1	AGO	56	1	19
AGOS57P4B14	-14	4	AGO	57	2	20
AGOS58P6B14	-14	6	AGO	58	2	21
CONS59P1B14	-14	1	CON	59	1	22
AGOS60P3B14	-14	3	AGO	60	2	23
CONS61P4B14	-14	4	CON	61	2	24
CONS62P1B14	-14	1	CON	62	1	25
CONS37P4B7	-7	4	CON	37	2	26
AGOS38P1B7	-7	1	AGO	38	1	27
CONS39P1B7	-7	1	CON	39	1	28
CONS41P1B7	-7	1	CON	41	1	29
AGOS42P6B7	-7	6	AGO	42	2	30
CONS43P5B7	-7	5	CON	43	2	31
AGOS44P4B7	-7	4	AGO	44	2	32
CONS45P2B7	-7	2	CON	45	2	33
AGOS46P1B7	-7	1	AGO	46	1	34
CONS47P6B7	-7	6	CON	47	2	35
AGOS48P4B7	-7	4	AGO	48	2	36
CONS49P6B7	-7	6	CON	49	2	37
AGOS50P1B7	-7	1	AGO	50	1	38
CONS51P3B7	-7	3	CON	51	2	39
CONS52P4B7	-7	4	CON	52	2	40
AGOS53P1B7	-7	1	AGO	53	1	41
AGOS54P5B7	-7	5	AGO	54	2	42
CONS55P5B7	-7	5	CON	55	2	43
AGOS56P1B7	-7	1	AGO	56	1	44
AGOS57P4B7	-7	4	AGO	57	2	45
AGOS58P6B7	-7	6	AGO	58	2	46
CONS59P1B7	-7	1	CON	59	1	47
AGOS60P3B7	-7	3	AGO	60	2	48
CONS61P4B7	-7	4	CON	61	2	49
CONS62P1B7	-7	1	CON	62	1	50
CONS37P4A0	0	4	CON	37	2	51
AGOS38P1A0	0	1	AGO	38	1	52
CONS39P1A0	0	1	CON	39	1	53
CONS41P1A0	0	1	CON	41	1	54
AGOS42P6A0	0	6	AGO	42	2	55
CONS43P5A0	0	5	CON	43	2	56
AGOS44P4A0	0	4	AGO	44	2	57
CONS45P2A0	0	2	CON	45	2	58
AGOS46P1A0	0	1	AGO	46	1	59
CONS47P6A0	0	6	CON	47	2	60
AGOS48P4A0	0	4	AGO	48	2	61
CONS49P6A0	0	6	CON	49	2	62
CONS51P3A0	0	3	CON	51	2	63
CONS52P4A0	0	4	CON	52	2	64
CONS55P5A0	0	5	CON	55	2	65
AGOS56P1A0	0	1	AGO	56	1	66
AGOS57P4A0	0	4	AGO	57	2	67
AGOS58P6A0	0	6	AGO	58	2	68
CONS59P1A0	0	1	CON	59	1	69
AGOS60P3A0	0	3	AGO	60	2	70
CONS61P4A0	0	4	CON	61	2	71
CONS62P1A0	0	1	CON	62	1	72
CONS37P4A8	8	4	CON	37	2	73
AGOS38P1A8	8	1	AGO	38	1	74
CONS39P1A8	8	1	CON	39	1	75
CONS41P1A8	8	1	CON	41	1	76
AGOS42P6A8	8	6	AGO	42	2	77
CONS43P5A8	8	5	CON	43	2	78
AGOS44P4A8	8	4	AGO	44	2	79
CONS45P2A8	8	2	CON	45	2	80
AGOS46P1A8	8	1	AGO	46	1	81
CONS47P6A8	8	6	CON	47	2	82
AGOS48P4A8	8	4	AGO	48	2	83
CONS49P6A8	8	6	CON	49	2	84
AGOS50P1A8	8	1	AGO	50	1	85
CONS51P3A8	8	3	CON	51	2	86
CONS52P4A8	8	4	CON	52	2	87
AGOS53P1A8	8	1	AGO	53	1	88
AGOS54P5A8	8	5	AGO	54	2	89
CONS55P5A8	8	5	CON	55	2	90
AGOS56P1A8	8	1	AGO	56	1	91
AGOS57P4A8	8	4	AGO	57	2	92
AGOS58P6A8	8	6	AGO	58	2	93
CONS59P1A8	8	1	CON	59	1	94
AGOS60P3A8	8	3	AGO	60	2	95
CONS61P4A8	8	4	CON	61	2	96
CONS62P1A8	8	1	CON	62	1	97
CONS37P4A16	16	4	CON	37	2	98
AGOS38P1A16	16	1	AGO	38	1	99
CONS39P1A16	16	1	CON	39	1	100
CONS41P1A16	16	1	CON	41	1	101
AGOS42P6A16	16	6	AGO	42	2	102
CONS43P5A16	16	5	CON	43	2	103
AGOS44P4A16	16	4	AGO	44	2	104
CONS45P2A16	16	2	CON	45	2	105
AGOS46P1A16	16	1	AGO	46	1	106
CONS47P6A16	16	6	CON	47	2	107
AGOS48P4A16	16	4	AGO	48	2	108
CONS49P6A16	16	6	CON	49	2	109
AGOS50P1A16	16	1	AGO	50	1	110
CONS51P3A16	16	3	CON	51	2	111
CONS52P4A16	16	4	CON	52	2	112
AGOS53P1A16	16	1	AGO	53	1	113
AGOS54P5A16	16	5	AGO	54	2	114
CONS55P5A16	16	5	CON	55	2	115
AGOS56P1A16	16	1	AGO	56	1	116
AGOS57P4A16	16	4	AGO	57	2	117
AGOS58P6A16	16	6	AGO	58	2	118
CONS59P1A16	16	1	CON	59	1	119
AGOS60P3A16	16	3	AGO	60	2	120
CONS61P4A16	16	4	CON	61	2	121
CONS62P1A16	16	1	CON	62	1	122
