"SampleID","AGOS38P1A0","AGOS38P1A16","AGOS38P1A8","AGOS38P1B14","AGOS38P1B7","AGOS42P6A0","AGOS42P6A16","AGOS42P6A8","AGOS42P6B14","AGOS42P6B7","AGOS44P4A0","AGOS44P4A16","AGOS44P4A8","AGOS44P4B14","AGOS44P4B7","AGOS46P1A0","AGOS46P1A16","AGOS46P1A8","AGOS46P1B14","AGOS46P1B7","AGOS48P4A0","AGOS48P4A16","AGOS48P4A8","AGOS48P4B14","AGOS48P4B7","AGOS50P1A16","AGOS50P1A8","AGOS50P1B14","AGOS50P1B7","AGOS53P1A16","AGOS53P1A8","AGOS53P1B14","AGOS53P1B7","AGOS54P5A16","AGOS54P5A8","AGOS54P5B14","AGOS54P5B7","AGOS56P1A0","AGOS56P1A16","AGOS56P1A8","AGOS56P1B14","AGOS56P1B7","AGOS57P4A0","AGOS57P4A16","AGOS57P4A8","AGOS57P4B14","AGOS57P4B7","AGOS58P6A0","AGOS58P6A16","AGOS58P6A8","AGOS58P6B14","AGOS58P6B7","AGOS60P3A0","AGOS60P3A16","AGOS60P3A8","AGOS60P3B14","AGOS60P3B7","CONS37P4A0","CONS37P4A16","CONS37P4A8","CONS37P4B14","CONS37P4B7","CONS39P1A0","CONS39P1A16","CONS39P1A8","CONS39P1B14","CONS39P1B7","CONS41P1A0","CONS41P1A16","CONS41P1A8","CONS41P1B14","CONS41P1B7","CONS43P5A0","CONS43P5A16","CONS43P5A8","CONS43P5B14","CONS43P5B7","CONS45P2A0","CONS45P2A16","CONS45P2A8","CONS45P2B14","CONS45P2B7","CONS47P6A0","CONS47P6A16","CONS47P6A8","CONS47P6B14","CONS47P6B7","CONS49P6A0","CONS49P6A16","CONS49P6A8","CONS49P6B14","CONS49P6B7","CONS51P3A0","CONS51P3A16","CONS51P3A8","CONS51P3B14","CONS51P3B7","CONS52P4A0","CONS52P4A16","CONS52P4A8","CONS52P4B14","CONS52P4B7","CONS55P5A0","CONS55P5A16","CONS55P5A8","CONS55P5B14","CONS55P5B7","CONS59P1A0","CONS59P1A16","CONS59P1A8","CONS59P1B14","CONS59P1B7","CONS61P4A0","CONS61P4A16","CONS61P4A8","CONS61P4B14","CONS61P4B7","CONS62P1A0","CONS62P1A16","CONS62P1A8","CONS62P1B14","CONS62P1B7","Feature.ID14"
"Treatment","1","1","1","1","1","6","6","6","6","6","4","4","4","4","4","1","1","1","1","1","4","4","4","4","4","1","1","1","1","1","1","1","1","5","5","5","5","1","1","1","1","1","4","4","4","4","4","6","6","6","6","6","3","3","3","3","3","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","5","5","5","5","5","2","2","2","2","2","6","6","6","6","6","6","6","6","6","6","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","1","1","1","1","1","4","4","4","4","4","1","1","1","1","1",NA
"Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified_Clostridiaceae",NA,NA,NA,"0.1096527413",NA,NA,NA,NA,"6.019371e-02",NA,NA,NA,NA,"0.1110063634",NA,NA,NA,NA,"0.0710722424",NA,NA,NA,NA,"8.407154e-02",NA,NA,NA,"0.1436291740",NA,NA,NA,"0.0743056565",NA,NA,NA,"8.013904e-02",NA,NA,NA,NA,"0.0837591824",NA,NA,NA,NA,"0.0412548346",NA,NA,NA,NA,"0.1092659446",NA,NA,NA,NA,"0.0697086063",NA,NA,NA,NA,"0.0718340184",NA,NA,NA,NA,"0.0741525424",NA,NA,NA,NA,"0.0858684985",NA,NA,NA,NA,"9.435090e-02",NA,NA,NA,NA,"0.0585865983",NA,NA,NA,NA,"8.893298e-02",NA,NA,NA,NA,"0.0992386958",NA,NA,NA,NA,"0.0870765370",NA,NA,NA,NA,"0.0845690077",NA,NA,NA,NA,"0.0601058860",NA,NA,NA,NA,"9.306828e-02",NA,NA,NA,NA,"0.0701307154",NA,NA,NA,NA,"0.0712207792",NA,"ASV1"
"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified_Bacteroidales|unclassified_Bacteroidales",NA,NA,NA,"0.0226505663",NA,NA,NA,NA,"9.265189e-02",NA,NA,NA,NA,"0.0833136931",NA,NA,NA,NA,"0.0895485619",NA,NA,NA,NA,"4.604713e-02",NA,NA,NA,"0.0475395431",NA,NA,NA,"0.0974262033",NA,NA,NA,"6.309223e-02",NA,NA,NA,NA,"0.1076333440",NA,NA,NA,NA,"0.0351310700",NA,NA,NA,NA,"0.0261732852",NA,NA,NA,NA,"0.0467585272",NA,NA,NA,NA,"0.0430612644",NA,NA,NA,NA,"0.0990269931",NA,NA,NA,NA,"0.0375017524",NA,NA,NA,NA,"4.164591e-02",NA,NA,NA,NA,"0.0845111681",NA,NA,NA,NA,"5.654274e-02",NA,NA,NA,NA,"0.0128037527",NA,NA,NA,NA,"0.0768716018",NA,NA,NA,NA,"0.0965455434",NA,NA,NA,NA,"0.0989177826",NA,NA,NA,NA,"6.473699e-02",NA,NA,NA,NA,"0.0116613332",NA,NA,NA,NA,"0.1445194805",NA,"ASV10"
"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"1.992627e-04",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV100"
"Bacteria|TM7|TM7-3|CW040|F16|unclassified_F16",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"2.089253e-04",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"1.904671e-04",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV101"
"Bacteria|Lentisphaerae|[Lentisphaeria]|Z20|R4-45B|unclassified_R4-45B",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"1.200672e-04",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0001627163",NA,NA,NA,NA,"0.0000000000",NA,"ASV102"
"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0007070469",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0004155844",NA,"ASV103"
"Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|unclassified_Rickettsiales|unclassified_Rickettsiales",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0004311141",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV104"
"Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Olsenella",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"3.760655e-04",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV105"
"Bacteria|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|unclassified_Mycoplasmataceae",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"1.671402e-04",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV106"
"Bacteria|Spirochaetes|Spirochaetes|Sphaerochaetales|Sphaerochaetaceae|Sphaerochaeta",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"3.342805e-04",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV107"
"Bacteria|Cyanobacteria|Chloroplast|Streptophyta|unclassified_Streptophyta|unclassified_Streptophyta",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"8.357012e-05",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV108"
"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Kocuria",NA,NA,NA,"0.0003750094",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV109"
"Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|unclassified_Peptostreptococcaceae",NA,NA,NA,"0.0121503038",NA,NA,NA,NA,"8.644841e-03",NA,NA,NA,NA,"0.0173226491",NA,NA,NA,NA,"0.0056660713",NA,NA,NA,NA,"1.303694e-02",NA,NA,NA,"0.0158611599",NA,NA,NA,"0.0170132325",NA,NA,NA,"1.738012e-02",NA,NA,NA,NA,"0.0128553178",NA,NA,NA,NA,"0.0142887838",NA,NA,NA,NA,"0.0173886883",NA,NA,NA,NA,"0.0209170996",NA,NA,NA,NA,"0.0076335878",NA,NA,NA,NA,"0.0046296296",NA,NA,NA,NA,"0.0107948970",NA,NA,NA,NA,"1.763475e-02",NA,NA,NA,NA,"0.0110582204",NA,NA,NA,NA,"1.181748e-02",NA,NA,NA,NA,"0.0108812673",NA,NA,NA,NA,"0.0169803430",NA,NA,NA,NA,"0.0134430504",NA,NA,NA,NA,"0.0133914668",NA,NA,NA,NA,"1.407121e-02",NA,NA,NA,NA,"0.0092205890",NA,NA,NA,NA,"0.0160000000",NA,"ASV11"
"Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]|Peptoniphilus",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"1.416564e-04",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV110"
"Bacteria|Proteobacteria|Alphaproteobacteria|RF32|unclassified_RF32|unclassified_RF32",NA,NA,NA,"0.0002250056",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"9.963136e-05",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"8.625895e-05",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV111"
"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Acidaminococcus",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0001957330",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV112"
"Bacteria|Elusimicrobia|Elusimicrobia|Elusimicrobiales|Elusimicrobiaceae|Elusimicrobium",NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.0000000000",NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0001167860",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.0000000000",NA,NA,NA,NA,"0.0000000000",NA,"ASV113"
